trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
92,False,"{'a': 0.5, 'e': 0.7723000000000001}",30,0,-15.692405245105387,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.7675000000000001}",20,0,-95.51834297732488,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.76265}",20,0,-117.45875603401583,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
95,False,"{'a': 0.5, 'e': 0.75775}",20,4,-101.70964632567264,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 2}",1
96,False,"{'a': 0.5, 'e': 0.7528}",25,0,-111.98431684104672,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
97,False,"{'a': 0.5, 'e': 0.7478}",20,0,-48.73643412801009,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.74275}",25,17,15.17965297792794,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.73765}",25,0,-119.8422835117678,"{0: 15, 1: 6, 2: 1, 3: 1, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.7325}",20,1,-108.22844821766645,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 2}",1
101,False,"{'a': 0.5, 'e': 0.7273000000000001}",20,0,-23.3719603026334,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.7220500000000001}",25,0,-71.29265912754595,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.7167500000000001}",30,0,-87.07937725211904,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.7114000000000001}",20,0,-51.60870414205355,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.7060000000000002}",20,14,-20.57370771729048,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.7005500000000002}",25,0,-50.21583983893484,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.6950500000000003}",30,0,-99.11950522355978,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.6895000000000002}",25,14,-22.406388230544703,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.6839000000000002}",25,0,-123.61761351960381,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
110,False,"{'a': 0.5, 'e': 0.6782500000000001}",35,0,-49.25497687101553,"{0: 24, 1: 5, 2: 6, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.6725500000000001}",35,0,-170.31446136774363,"{0: 22, 1: 2, 2: 7, 3: 2, 4: 2}",0
112,False,"{'a': 0.5, 'e': 0.6668000000000001}",20,12,-3.3292725524807407,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.661}",30,0,-82.98332320687923,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.65515}",25,5,-47.4274920173335,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",1
